BENIN;
CODE;BBBSR2078A0BQ;
LIBELLE;Consommation d'electricite ;
1980;97615,000;
1981;102794,000;
1982;136597,000;
1983;142567,000;
1984;129544,000;
1985;142243,000;
1986;136524,000;
1987;137707,000;
1988;142872,526;
1989;141336,947;
1990;151560,223;
1991;158897,566;
1992;181027,097;
1993;188981,455;
1994;199429,380;
1995;219306,390;
1996;242530,423;
1997;261553,248;
1998;265970,539;
1999;318258,823;
2000;367384,700;
2001;426081,665;
2002;486748,445;
2003;516585,370;
2004;541797,350;
2005;561260,680;
2006;589808,100;
2007;634149,600;
2008;724404,600;
2009;763606,400;
2010;770388,100;
2011;796241,400;
2012;837340,400;
2013;864690,000;
2014;867300,000;
2015;923576,000;
2016;923558,000;
2017;959220,000;

